no,name,rank,nights,sales,unit
1,Mr.KINJO in 旭橋駅前,1,92,814901,8858
2,Mr.KINJO in Air Resort,1,17,134815,7930
3,Mr.KINJO 宮古島アパラギリゾートⅠ,1,43,271609,6316
4,Mr.KINJO in Arcade,1,65,480466,7392
5,Mr.KINJO in ASATO,1,42,265725,6327
6,Mr.KINJO in Colorz Ciizi,1,34,204652,6019
7,Mr.KINJO inn D-buil,1,35,254496,7271
8,Mr.KINJO EMINENCE inn MAKISHI,1,155,940836,6070
9,Mr.KINJO En 石垣,1,69,631835,9157
10,Mr.KINJO in エスポワール与那覇ビル,1,19,129736,6828
11,Mr.KINJO in GOLDEN CATS,1,85,941741,11079
12,Mr.KINJO in GRAND BLUE CHATAN,1,59,576140,9765
13,Mr.KINJO GRAND CATS,1,58,621262,10711
14,Mr.KINJO in GUSUKU,1,48,363993,7583
15,Mr.KINJO in HAIBISU 西町,1,53,435506,8217
16,Mr.KINJO Happiness ResortⅠ,1,19,115731,6091
17,Mr.KINJO Happiness ResortⅡ,1,27,178272,6603
18,Mr.KINJO in 石川インター,1,23,215109,9353
19,Mr.KINJO in Rycom 北中城,1,48,396188,8254
20,Mr.KINJO in こども病院前,1,79,546846,6922
21,Mr.KINJO LINK in Kugai 宮古島,1,42,252336,6008
22,Mr.KINJO LINK in KUME NAHA,2,16,93531,5846
23,Mr.KINJO in Colorz KUNINDA,1,25,130256,5210
24,Mr.KINJO in MAEHARA,1,39,218718,5608
25,Mr.KINJO 万座ビーチ前,1,33,278989,8454
26,Mr.KINJO in MATSUO,2,10,52091,5209
27,Mr.KINJO in Miegusuku,1,60,334522,5575
28,Mr.KINJO in MIHARA,1,27,163350,6050
29,Mr.KINJO Miki24 in 牧志駅前,1,27,210617,7801
30,Mr.KINJO in MINAMIUEBARU,1,39,249692,6402
31,Mr.KINJO MIYAKO ISLAND,1,52,438638,8435
32,Mr.KINJO inn MIYAKOJIMA,1,60,441026,7350
33,Mr.KINJO in MOTOBU OCEAN TERRACE,1,100,1150934,11509
34,Mr.KINJO in NAHA,2,10,63583,6358
35,Mr.KINJO in Nica's牧志駅,1,39,340662,8735
36,Mr.KINJO in 西原インター,1,31,226877,7319
37,Mr.KINJO in NISHIZAKI,1,57,445573,7817
38,Mr.KINJO 宮古島 パイナガマリゾート,1,82,816321,9955
39,Mr.KINJO in CHATAN Premium Terrace,1,46,422790,9191
40,Mr.KINJO in SAKAEMACHI,1,130,1019314,7841
41,Mr.KINJO inn 下里南,1,17,129361,7609
42,Mr.KINJO Suns in ISHIGAKI,1,10,94391,9439
43,Mr.KINJO in TOMIGUSUKU,1,41,309600,7551
44,T-STYLE,1,46,277070,6023
45,Mr.KINJO in Shanti Van 壺川駅,1,50,319267,6385
46,Mr.KINJO in UCHIDOMARI,1,57,483142,8476
47,Mr.KINJO in UENOKURA,1,51,357812,7016
48,Mr.KINJO in URUMA,1,25,279840,11194
49,Mr.KINJO VIOLETTE空港前,1,17,104890,6170
50,Mr.KINJO in Alaha Style,1,28,326550,11662
